epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5112,2.15714,4.51363,2.25371,0.19494,0.27739,0.14307,0.05068,2.05465,4.52888,2.53479,0.0001667,0.0001667,0.0001667
2,29.4088,1.94183,2.88524,1.9771,0.13779,0.27149,0.12381,0.04293,2.23955,3.32547,2.46969,0.000348337,0.000348337,0.000348337
3,42.3562,1.83838,2.58696,1.89963,0.12767,0.31328,0.08329,0.02677,2.44567,5.34944,3.0436,0.000528159,0.000528159,0.000528159
4,55.688,2.02,2.56493,2.03855,0.0173,0.05327,0.00639,0.00173,4.06613,5.86108,5.16965,0.000706165,0.000706165,0.000706165
5,68.5224,2.01623,2.58697,2.05213,0.05322,0.24294,0.03772,0.0086,2.83023,9.02772,3.96404,0.000882356,0.000882356,0.000882356
6,81.2892,1.93972,2.45369,1.99045,0.04164,0.2034,0.0214,0.0054,3.16689,27.367,4.29295,0.00105673,0.00105673,0.00105673
7,93.4413,1.96578,2.42492,1.97828,0.57792,0.15509,0.07733,0.02549,2.70953,8.43398,5.01513,0.00122929,0.00122929,0.00122929
8,106.559,2.02924,2.4906,2.07051,0.42184,0.07501,0.03371,0.00945,2.84695,8.49197,3.40709,0.00140004,0.00140004,0.00140004
9,122.638,2.06405,2.42439,2.0272,0.53989,0.09954,0.03403,0.00911,2.85455,9.87067,3.98606,0.00156897,0.00156897,0.00156897
10,135.752,2.10421,2.47522,2.07605,0.10781,0.07687,0.00832,0.00199,3.58535,10.2543,4.73072,0.00159274,0.00159274,0.00159274
11,149.509,2.05238,2.4501,2.05259,0.06613,0.33658,0.01086,0.0037,2.98188,inf,7.24537,0.00158448,0.00158448,0.00158448
12,165.905,2.01895,2.49518,2.00784,0.0218,0.0941,0.01023,0.00253,2.95174,13.2253,3.60352,0.00157623,0.00157623,0.00157623
13,178.761,2.02077,2.44628,2.01866,0.0647,0.13967,0.01599,0.00353,3.05907,5.37792,3.35025,0.00156798,0.00156798,0.00156798
14,195.98,2.03386,2.37183,2.01948,0.03123,0.05141,0.00674,0.00151,3.13827,9.10777,3.64121,0.00155973,0.00155973,0.00155973
15,211.409,1.9962,2.32775,1.9944,0.06148,0.13663,0.03213,0.00729,2.87765,8.61218,3.31941,0.00155148,0.00155148,0.00155148
